ABATE,shorten; to cast down; to blunt
ABATEMENT,diminution
ABHOR,protest; disgust
ABIDE,to sojourn to expiate
ABLE,to uphold
ABRIDGEMENT,a short play
ABROAD,away, apart
ABROOK,to brook, abide
ABSEY-BOOK,a primer
ABSOLUTE,positive, certain Complete
ABUSE,to deceive; deception
ABY,to expiate a fault
ABYSM,abyss
ACCITE,to cite, summon
ACCUSE,accusation
ACHIEVE,to obtain
ACKNOWN,'to be acknown' is to acknowledge
ACQUITTANCE,a receipt or discharge
ACTION-TAKING,litigious
ACTURE,action
ADDITION,title, attribute
ADDRESS,to prepare oneself
ADDRESSED,prepared
ADVANCE,to prefer, promote to honour
ADVERTISEMENT,admonition
ADVERTISING,attentive
ADVICE,consideration, discretion
ADVISE,sometimes neuter, sometimes reflective, to consider, reflect
ADVISED,considerate
ADVOCATION,pleading, advocacy
AFEARED,afraid
AFFECT,to love
AFFY,to affiance To trust
AFRONT,in front
AGAZED,looking in amazement
AGLET-BABY,the small figure engraved on a jewel
AGNISE,to acknowledge, confess
A-GOOD,a good deal, plenteously
A-HOLD,a sea-term
AIERIE,the nest of a bird of prey
AIM,a guess
ALDER-LIEFEST,most loved of all
ALE,alehouse
ALLOW,to approve
ALLOWANCE,approval
AMES-ACE,two aces, the lowest throw of the dice
AMORT,dead, dejected
AN,if
ANCHOR,an anchorite, hermit
ANCIENT,an ensign-bearer
ANGEL,a coin, so called because it bore the image of an angel
ANIGHT,by night
ANSWER,retaliation
ANTHROPOPHAGINIAN,a cannibal
ANTICK,the fool in the old plays
ANTRE,a cave
APPARENT,heir-apparent
APPEAL,to accuse; accusation
APPEARED,made apparent
APPLE-JOHN,a kind of apple
APPOINTMENT,preparation
APPREHENSION,opinion
APPREHENSIVE,apt to apprehend or understand
APPROBATION,probation
APPROOF,approbation, proof
APPROVE,to prove; to justify, make good
APPROVER,one who proves or tries
ARCH,chief
ARGAL,a ridiculous word intended for the Latin ergo
ARGENTINE,silver
ARGIER,Algiers
ARGOSY,originally a vessel of Ragusa or Ragosa, a Ragosine; hence any ship of burden
ARGUMENT,subject
ARMIGERO,a mistake for Armiger, the Latin for Esquire
AROINT,found only in the imperative mood, get thee gone
A-ROW,in a row
ARTICULATE,to enter into articles of agreement to exhibit in articles
ASK,to require
ASPECT,regard, looks
